,Heading,Date,Content
11,Ramkrishna Mission receives Rs 30 lakh demand note,"Sunday, August 23, 2015","TURA: After lying low for a few weeks due to intensive operations by West Garo Hills police which led to the arrest of several anti-social elements and busting of their racket, criminal gangs are once again raising their ugly heads.
Unidentified men handed over a demand note of Rs 30 lakh to the Ramkrishna Mission School and Orphanage at Kuralbanga, which lies on the Assam-Meghalaya border of West Garo Hills district on Thursday evening.
The demand was made in a white sheet of paper which carried the drawing of a gun and also reportedly contained an unused bullet.
“We are investigating the matter and have intensified patrolling to nab the culprits behind the extortion drive. We believe it to be handiwork of criminals,” said police officer-in-charge of Kalapani outpost, which falls on the Assam side of the border.
The Ramkrishna Mission comprises of a school on the Meghalaya side of the border and an orphanage which falls on the Assam border.
Members of Ramkrishna mission have been running the institution for several decades providing free schooling and hostel for a large number of orphans who have no one to turn to.
The institution is run on contributions from devotees, well-wishers and the generous public and is renowned for its humanitarian services for the weaker sections of society.
This is the second time in recent months that criminal gangs have targeted the mission.Early this year, a criminal gang barged into the house of retired Don Bosco school teacher Gaganendra Sanyal at Kuralbanga and took him away at gunpoint.
The criminal gang released the well known scouts and guides teacher of Tura only after receiving a ransom amount.
West Garo Hills police shot and killed one of the gang members and unraveled the identity of the perpetrators within days of the release of Sanyal."
12,CM to hold meet on ANVC pact progress,"Sunday, August 23, 2015","SHILLONG: Chief Minister Mukul Sangma has convened a meeting with the leaders of ANVC, ANVC-B on August 27 to discuss the progress of the Agreed Text of Settlement.
It was on September 24 last year that a settlement was arrived at between the state and the central governments and the ANVC,ANVC-B groups.
Almost after a year, proper rehabilitation package for ANVC-ANVC-B has been pending.
An analysis of the  agreement shows that it does not specify the onetime financial package to the cadres though  the ANVC and ANVC-B cadres are entitled to get Rs.2.5 lakh each as per the norm of the Centre as one time financial assistance which will have to be utilized for livelihood initiatives.
The  Agreed Text for Settlement has no  mention about any special economic package different from the financial assistance of several crores of rupees announced by the Centre for  Bodoland Territorial Council  areas, Karbi Anglong Autonomous Territorial Council and  Dima Hasao Autonomous Territorial Council  for the next five years.
Earlier, the Meghalaya Government had planned to provide one time funding support for five years to strengthen the local/ traditional institutions at the grass root level as per the agreement, but there was no follow up action in this regard
In addition, the State Government had also written to the Centre on whether to continue with providing monthly stipend of Rs 3,000 each to the rehabilitated ANVC-ANVC-B cadres since the militant outfit was disbanded in December last.
However, the State Government is yet to receive any reply from the Centre.The features of the tripartite pact signed on September 24 in the presence of Union Home Minister Rajnath Singh and the Chief Minister  include  increasing the numbers of members to Garo Hills Autonomous District Council from 30 to 40, and giving tribal council additional powers in administration and organization within its jurisdictio"
13,Women police in Meghalaya free from gender bias,"Sunday, August 23, 2015","New Delhi: Women in police forces recruited for safety of women in India are not only very less in number but also face chauvinism, but in matrilineal Meghalaya the case is different, an international report said.  Despite the central government’s call for the force to raise the proportion of women to 33  percent, women make up only 6.11 percent of India’s 2.3 million police, a report by the  Commonwealth Human Rights Initiative found.
The study was done in four states in the  country form different regions- Meghalaya, Jharkhand, Kerala, Rajasthan and Haryana.
Of the states covered, the male culture is less acute in the Meghalaya Police, the report said. “As Meghalaya is a matrilineal society, there is greater space for women’s participation in the overall workforce,” it added.
While representation of women in Meghalaya Police is only 2.87%, the women  police interviewed did not complain of discrimination or other attitudinal cultural problems,  the report said. But in case of other states women complained about menial duties, bypassed for promotion  and sexual harassment by male colleagues.
Interviews with male and female police officers in five Indian states found that women face a  deep-seated gender bias across the police force, which starts at recruitment and continues  throughout their career, said Devika Prasad, co-author of the report “Rough Roads to Equality:  Women Police in South Asia”.
“Everywhere that we went, women police across ranks told us one of the most discouraging  things for them is that there are no women on recruitment and interview boards and selection  panels,” Prasad said at the launch of the report.
“We also found that women are assigned desk and clerical jobs and not given frontline  operational duties such as investigations.
We were constantly told by male police that  policing is a man’s job and that women can’t do the job as they are not strong physically and  psychologically.”
As a result, women are concentrated in the lower ranks of the police and made to work on  specific ‘women and child’ crimes where they record statements and register complaints, but  gain little experience, reducing their chances of promotion.
The study showed that more than 80 percent of policewomen are constables, the lowest rank, 7.8  percent head constables, 3.35 percent assistant sub inspectors and only 0.02 percent hold the  top ranks – director general and additional director general.
The report also found that there was little acknowledgment by the police leadership of sexual  harassment. Many policewomen did not even know there was a law against sexual harassment in  the workplace, and how and where to complain.
“There is a real fear that they will be maligned, punished and victimised. We found that they  would not speak to us formally, but during breaks they would tell us sexual harassment is  endemic,” said Prasad.
There were many cases where police women on duty would avoid even drinking water since there are no separate toilets for them, the report said. Despite Government order, many police stations do not have separate toilets for women, it added."
14,JACATAM forms RTI group to examine cess deduction,"Sunday, August 23, 2015","SHILLONG: The JACATAM has constituted an RTI group headed by Kular Khongjirem as the convener and R Ronghang as the chairman to examine the possibilities of filing an RTI on the deduction of cess for upliftment of the education sector in the state.
“We have formed the RTI group to know the areas on which we can file an RTI to find out about the cess deduction implemented by the State Government which is meant for the betterment of the education sector,” JACATAM chairman ED Nongsiang told newsmen after the general meeting of the association here on Saturday.
He said that the other reason for finding out the deduction on cess is that they were told by chief minister Dr Mukul Sangma in their last meeting on July 29, that the Government has not been able to fulfill their demand on the proposed provincialisation of the service of the teachers in the State since it does not have the resources at the moment.
“The chief minister assured us that the provincialisation of service of teachers will be done as and when the funds are available with the Government,” the chairman said.
It may be mentioned that the State Government had planned to utilise the funds collected through the cess from cement in funding various social sectors like sports and education. Also, the Government had decided to introduce a cess on clinker at Rs 20 per metric tonne for the purpose of empowering the education sector.
When asked about the status of their demand, Nongsiang said that the Government has accepted the comparative study report submitted by the Directorate of School Education and Literacy (DSEL) to the State Government on the provincialisation of the service of teachers.
He said that the directorate has given the details about the comparative studies where a delegation from the Education department led by the director had gone to various States like Kerala, Goa, Assam and Sikkim to conduct a comparative study on the feasibility of this proposed exercise.
Giving out some of the details of findings of the comparative study, Nongsiang said that the Education delegation team has found that there are three categories of schools in Kerala and Goa- Government, Provincialised and Self Financing Schools.
“In Kerala, the State Government has provincia-lised all the schools which were set up before 1991,” JACATAM chairman said.
Informing about the findings of the Education team in Assam, he said that the Assam Government had decided to provincialise all the schools in 2011, adding that presently there are three categories of schools in Assam as well.
”After the provincialisation of schools, now there are only about 10 percent       of private run schools in Assam,” Nongsiang said.
Meanwhile, he said that the situation in Sikkim is a bit different since it is yet to have its own board.“All the schools in Sikkim are affiliated either to the CBSE or ICSE,” he said even as informing that the provincialisation of the services of teachers is yet to take place in Sikkim.
JACATAM said that they are happy as the findings of the comparative report of the DSEL coincide with their demand to provincialise the services of the teachers.
“It now depends on the political will of the Government to provincialise the service of teachers,” Nongsiang said.
JACATAM chairman said that the total expenditure on salaries will be around Rs 900 cr annually.
“Presently, the Government spends around Rs 500 crore on the salaries of the teachers. The Government will incur an extra expenditure of another Rs 400 crore once it provincialised the service of the teachers,” he said.
Nongsiang said that currently, there are around 1200 schools in the State under deficit pattern and the number of deficit and adhoc teachers in state totals to 37,000.
Meanwhile, he informed that as a part of the proposed provincialisation, the Government has managed to keep its commitment of releasing the salaries every month.
According to him, the teachers used to receive the salaries once in three months. “We are happy that we are receiving our salaries regularly,” JACATAM chairman added.With the assurance on the part of the chief minister, he said that they have decided to take part in this year’s ‘Teacher’s Day’ celebration organised by the State Government."
15,Flood in Damring Valley,"Sunday, August 23, 2015","Resubelpara: Damring Valley, district capital of Resubelpara submerged under water due to heavy rains recently.
As a result of incessant rains in the area, Damring Valley was flooded with the rise of the water level of Damring River. The strong currents of the river also led soil erosion and landslide.
District administration informed that Damring, Didram and Manda rivers were flowing dangerously, however, no casualties or incident was reported. District School Education Officer was also asked to declare official holiday on August 19 and 20."
16,Meghalaya Crime Update,"Sunday, August 23, 2015","Cash stolen
On 21 August, Suzana Syiemlieh and Miranda Wahlang lodged a complaint that between 1 pm to 2 pm, unknown miscreants stole their purse containing cash of Rs. 5000 and Rs 3680 near Tibetan Market, and Legacy Stores, Police Bazar, respectively.Vehicle theft
On August 18, unknown miscreants stole one Bolero (ML-04B-2998) belonging to Synta Ksoo from Ialong village (WJH).
Rubber sheets stolen
On August 19, Suli D Shira and his accomplice stole thirty-five rubber sheets valued around Rs 3,800 belonging to Gilbert A Sangma from Tebil Bonegre, Songsak (EGH)."
17,DC prohibits commercial use of domestic LPG cylinders,"Sunday, August 23, 2015","WILLIAMNAGAR: East Garo Hills district administration had detected the commercial use of 14•2 Kg domestic LPG cylinders illegally in some of the tea stalls and fast-food restaurants in the district, violating the provisions of the Meghalaya Liquefied Petroleum Gas (Regulation for Sale and Distribution) Order, 1988. The Deputy Commissioner, CVD Diengdoh, IAS, had issued directive to the tea-stall and fast-food owners in the district, to use only 19 Kg cylinders which are meant for commercial use.
Diengdoh also had warned that non-compliance to the directive would attract initiation of action under provisions of the Meghalaya Liquefied Petroleum Gas (Regulations of Sale and distribution) Order, 1988 and the Essential Commodities Act, 1955."
18,Building laws to be applicable in urban areas only,"Saturday, August 22, 2015",Govt gives in to pressure  New law for rural areas soon
19,"High Court directs SP, IO to apologise","Saturday, August 22, 2015","Detention of police officer’s wife in West Garo Hills
SHILLONG: The Chief Justice of High Court of Meghalaya Uma Nath Singh on Friday asked the West Garo Hills district police chief M K Singh and the investigating officer (IO)  to tender apology to the wife of a police officer Neetu N.Marak who was illegally detained in West Garo Hills.
It was last year that Neetu  Marak, the wife of Vikram Marak, Additional SP in Garo Hills was arrested  along with Balsan Marak, who later died in judicial custody. Besides, the minor son of an NGO leader Jaynei Sangma was also arrested in connection with the assault of 12 girls in West Garo Hills.
Earlier, the stand of the SP was that the woman was involved in kidnapping a girl, which however was denied by the woman and her husband.
During the last hearing in July, the High Court had sought a report from Meghalaya DGP Rajiv Mehta before ordering an independent inquiry into the matter.  The DGP in his affidavit had admitted the mistake on the part of the police in detaining the woman.  The Court had earlier pulled up the SP for the contempt of court as the police failed to follow guidelines while arresting her."
20,Deborah- Tennydard case shifted to Shillong,"Saturday, August 22, 2015",HC unhappy over delay
21,BRIEFCASE,"Saturday, August 22, 2015",Mukul meets Shanmuganathan
22,NE should have trade ties with neighbours: Rijiju,"Saturday, August 22, 2015","SHILLONG: Union Minister of State for Home Affairs, Kiren Rijiju, on Friday stressed on the need for North Eastern states to open up their trade activities with the neighbouring countries.
Speaking at the Cooperative Summit organized by National Cooperative Development Corporation (NCDC) for the Development of Cooperatives in North Eastern Region here on Friday, Rijiju said that 98 per cent of the region is connected with the neighboring countries and only 2 per cent is connected through the Siliguri corridor with mainland India and it was for this reason that the region should have trade relations with the neighbouring countries.
Stressing that the states should have ports for trade and commerce with the neighbouring countries, he said he would study the reports of the Summit and take corrective measures to take the cooperative movement forward across the country.
Union Minister of State for Agriculture and Cooperation, Mohanbhai Kalaynjibhai Kundaria while speaking at the summit, said that the NCDC has an in-depth understanding on the responsibilities of cooperatives in ensuring inclusive growth and socio-economic development in the lives of small and marginal farmers, rural artisans, rural women and weaker sections of society.
Stating that the NCDC has included programmes such as Tourism, Hospitality, Transportation, Electricity and Energy, Rural Housing, Hospital, Health Care and Education within its fold so that all round development of the country could be ensured, he said that the Agriculture Ministry was giving special attention for agriculture development in North Eastern states considering the huge potential for development of cooperatives  in the region.
He hoped that the summit will come out with a concrete and implementable action plan for development of cooperatives in the North East and assured continuous and committed support of the Government of India, particularly the Agriculture Ministry in all such endeavours.
Chief Minister Mukul Sangma observed that the momentum of cooperative movement in the State has died down over the years; therefore having such summits will enable in depth understanding of complexities faced by the cooperative societies that is also related to the unique challenges that the North East region face.
He informed that in Meghalaya there was a need to infuse new enthusiasm amongst people that cooperatives can be another instrument to create sustainable livelihood, and with this view the Meghalaya Livelihood and Access to Market Projects (LAMP) was designed to create a cluster of cooperative societies by integrating a number of villages to ensure that cooperatives become agencies to create the market linkages for farmers who are being supported with various livelihood options which are on a sustainable basis.
The chief minister also highlighted a problem of cooperatives not being able to integrate themselves because of lack of support resulting in dislocation of marketing strategy of their cooperative products. “Connectivity through all weather roads, infrastructure and collection centres in a hub and spoke model for ensuring market access is a challenge,” he added.
Cooperation Minister H.D.R. Lyngdoh stressed the importance of setting up a Centre of Cooperative Excellence and Skill at Shillong with Central Government assistance in fulfilling the potential of the State and the North Eastern region in this sector."
23,"Panel to review security around HC, judges’ residences","Saturday, August 22, 2015","SHILLONG: The Meghalaya Director General of Police has constituted a high level committee to review the   security allotment in the High Court of Meghalaya and the residence of the judges.
Meghalaya Police PRO G.H.P. Raju said that as per the guidelines the High Court of Meghalaya falls under the high security zone.
He said that the high level committee includes the SP, Shillong, the Battalion Commandant and the SP, vital installations.
The committee will begin its work from Saturday."
24,‘Govt suppressing our democratic rights’,"Saturday, August 22, 2015",Admin foils HYC’s sit-in demonstration plan
25,Tearing up ordinance not unparliamentary: Nongrum,"Saturday, August 22, 2015","SHILLONG: Former KHADC CEM Adelbert Nongrum has defended his decision to tear the ordinance of the State Government, claiming that it was not unparliamentary.
“It was a spontaneous reaction on my part to tear the ordinance since my demand to pass the resolution during the special session was not accepted,” Nongrum said on Friday.
He further claimed that he was deeply concerned since the ordinance of the Government was ‘anti-custom’.
“We opposed the provisions of this ordinance which directs the headmen not to refuse residential certificates to anybody,” the former CEM said.
Nongrum also suggested that the VAB should be recall back since the situation doesn’t permit any further delay in the matter.
“While the VAB is pending before the Governor who is yet to give his final decision, we should make efforts to recall it back for further fine tuning,” he said, adding, “We should make laws not to promote the interests of outsiders but to protect the interests of the indigenous community,”.
It may be noted that the former CEM was reacting to remarks that he was known for resorting to unparliamentary behaviour on the floor in the House."
26,Minor girl assaulted in Jowai,"Saturday, August 22, 2015","JOWAI: A ten-year- old girl was allegedly assaulted by a woman identified as Dol Dann at her residence at Caraline Colony, Jowai.
The minor girl was working in the residence of the woman as a maid servant and was also studying at an evening school in Jowai.
On Thursdays, the girl was a little late in returning from the school and the woman allegedly assaulted her. The girl then left the house and was wandering around the locality when some residents found the girl and on learning of her ordeal informed the Child Labour office.
On Friday, the Child Labour Department lodged a complaint with Jowai Police against the woman."
27,Murder accused in police custody,"Saturday, August 22, 2015","SHILLONG: Helpful Patwet, a government servant accused of murder, was on Friday remanded in three-day police custody after he appeared before the court of Additional District Magistrate, East Jaintia Hills, K.L. Nongbri.
Earlier on August 18, the lower court had failed to act when the murder accused had surrendered before the court which compelled the High Court of Meghalaya to intervene.
Patwet had allegedly killed the son of the Dolloi of Nongkhlieh Elaka at Shnongrim in East Jaintia Hills District on July 15.
Later, a non-bailable warrant had been issued against the accused after he absconded following the crime."
28,‘Scrap MoU for construction of medical college’,"Saturday, August 22, 2015","SHILLONG: An organisation calling itself the Hynniewtrep People’s Federation (HPF) has urged the State Government to scrap the Memorandum of Understanding (MoU) with the Kolkata-based KPC Group for construction of the Shillong Medical College & Hospital.
“We want the government to revoke the MoU signed with the KPC Group in the interest of the State and its people,” the HPF said after meeting Health and Family Welfare Minister A.L. Hek on Friday.
The organisation questioned the government for allotting the work to the KPS Group which is involved in several litigations.
“We request you to order an inquiry to ascertain the fact about the antecedents of the firm and thereafter examine the matter,” it pleaded to the Health Minister.
The organisation reportedly presented evidences pertaining to the alleged dubious antecedents of the firm. Incidentally, the health minister assured that he would verify the allegations made against KPC Group."
29,One dead,"Saturday, August 22, 2015","SHILLONG: A driver of a Maruti car (ML-05B-6541), Rajesh Malakar, died on the spot while three other sustained injuries when the vehicle fell into a gorge at Umkiang in East Jaintia Hills on Wednesday evening."
30,Alleged rape victim admits filing false FIR against AR personnel,"Saturday, August 22, 2015","SHILLONG: In a surprising turn of events, an alleged rape victim has asked the Investigating Officer of Laitumkhrah PS to close the case.
The woman, who was working at the residence of one Subedar Major Sitaram Bind (55), had accused the Assam Rifles personnel of allegedly raping her on several occasions at the Directorate General Assam Rifles, Nongrimmaw, Laitumkhrah.
Police had arrested the AR personnel after the FIR was lodged.
The woman approached the Laitumkhrah police station appealing for withdrawal of the case claiming that she had filed the complaint against Subedar Major Sitaram Bind after being instigated by some people.
She also clarified that she had not been raped but had filed the case at the behest of other people.
The lawyer of the Subedar Major had also produced the medical examination report of the woman where it was indicated that the woman did not have any recent sexual activity."
31,Vocational programmes for schools launched,"Saturday, August 22, 2015","SHILLONG: Rashtriya Madhyamik Siksha Abhiyan (RMSA) Meghalaya launched two vocational programmes for five secondary government schools in the State in Tourism, Hospitality and Information Technology Enabled Services at a brief function held at Shillong Public School here on Friday.
Director of School Education and Literacy, Ambrose. C. Marak formally launched the programme.
Three schools in East Khasi Hills and one each in Jaintia and Garo Hills will benefit from the scheme.
The Tourism and Hospitality courses will run in association with the Institute of Hotel Management, Shillong and the Information Technology enabled services will run under the expertise of the National Institute of Electronics and IT (NIELIT), Shillong. The courses will be of two years’ duration covering students of classes 9 and 10.
R. S. Lorit, Joint State Project Director, RMSA Meghalaya, Manab Kalita, Director i/c NIELIT Shillong, A. S. Warjri, Principal, Shillong Public School and B. Kharshiing, Senior Faculty, IHM Shillong were among the prominent persons who spoke in the function."
32,"Patient’s relatives assaulted in Jowai, FIR filed","Saturday, August 22, 2015",Chowkidar examines patient in absence of doctors
33,AWWA Day organised,"Saturday, August 22, 2015","SHILLONG: A number of functions under the aegis of HQ 101 Area were organised in Shillong to commemorate the Army Wives Welfare Association (AWWA) Day.
The celebrations started with the felicitation of Veer Naris, followed by presentation of AWWA excellence awards as well as felecitation of meritorious students at Soltee Hall, 58 Gorkha Training Centre on Friday followed by a Khasi Garo dance. Speaking on the occasion, Pratibha S Nawathe praised the efforts of all members and emphasized on the ethos of ‘sharing and caring’."
34,‘Cable TV digitalisation to give a major boost to regional channels’,"Saturday, August 22, 2015","SHILLONG: The Regional channels will get a major boost with the cable TV digitalisation in the country.
The advisor to the Ministry of Information and Broadcasting, Government of India,  Yogendra Pal  on Friday said that the concept of  cable TV digitalization will help the Country for better dissemination of information.
While stating that the public dissemination of Government activities is important, he said that  25 channels in  like the Lok Sabha TV, DD Kisan etc., will be mandatory under the concept to  be aired by the cable operators in the prime band.
Speaking at the workshop of nodal officers  in the city on Friday, he also cautioned that if anyone is found by-passing the laid norms, actions will be taken against them.
The government has targeted the completion of Digitalisation of Cable TV network in the country by 2016. While the first two phases of the four phase programme are already over, phase III of digitalisation in the country will be completed by the end of this year."
35,BJYM launches youth-centric five-mission programme,"Saturday, August 22, 2015","Shillong: Bharatiya Janata Yuva Morcha, Meghalaya organized a programme on Friday to launch their five mission programme (Panch Kranti) – Yoga Revolution,women Empowerment,Swachh Bharat,Skill Development and Make in India to spread awareness among the youths of the state to have the spirit and to be skilled enough in every field.
The youths should know to avail their rights on  centrally sponsored schemes
Egenstar Kurkalang, BJYM President, Meghalaya also said that the government had launched and implemented various types of schemes which were sanctioned including youth related schemes. But to make these schemes fully functional in the state it is the duty of the citizens to follow up with government or any implementing agency and make sure that the people are fully benefitted.
Kurkalang added that Meghalaya should create a separate department of skill development in order to enable the scheme, sanctioned and sponsored for various sectors through the Ministry of skill development and entrepreneurship.
Dipayan Chakraborty, General Secretary, BJP Meghalaya, Dr.Dhira Bhowmick, Santoshraj Mugdal and Egenstar Kurkalang attended the programme along with the youths (BJYM members) various parts Meghalaya."
36,UDP youth wing lauds joint efforts by KHADC MDCs,"Saturday, August 22, 2015","NONGPOH: The UDP Youth Wing on Friday lauded the initiative taken by KHADC MDCs, especially those from the UDP and KHNAM, to come together during the August 19 special session to clear the path for the Appointment and Succession of Chief and Headmen Rules, 2015.
“The integration effort of all the MDCs from the ruling and the opposition sides in taking such a major decision in empowering the function of traditional head and institution was indeed the need of the hour after people of the State was stunned by the High Court verdict and were later faced with numerous obstacles since the headman cannot perform his duty as the High Court had stripped their powers,” UDP Youth Wing chief organizer Rayonald Kharkamni said.
The UDP Youth Wing also praised the MDCs for coming together to take the best possible decision to ease the problems faced by the people."
